ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7.197,0.08,-0.03,0.92,-1.04,2.19,0.02
7.217,0.08,-0.04,0.92,-1.03,2.24,0.01
7.237,0.08,-0.04,0.92,-1.07,2.22,0.02
7.257,0.08,-0.04,0.92,-1.06,2.21,-0.01
7.277,0.08,-0.03,0.92,-1.03,2.24,0.01
7.297,0.08,-0.03,0.92,-1.05,2.27,-0.01
7.317,0.08,-0.04,0.92,-1.01,2.34,-0.01
7.337,0.08,-0.04,0.92,-1.04,2.3,-0.03
7.357,0.08,-0.03,0.92,-1.07,2.21,0
7.377,0.08,-0.04,0.92,-1.02,2.22,0.02
7.397,0.08,-0.03,0.92,-1.05,2.27,-0.03
7.417,0.08,-0.04,0.91,-0.96,2.28,-0.02
7.437,0.08,-0.03,0.92,-1.03,2.24,0.04
7.457,0.08,-0.04,0.92,-1.05,2.24,0.02
7.477,0.08,-0.03,0.92,-1.05,2.26,0.05
7.497,0.08,-0.03,0.92,-1.02,2.19,-0.05
7.517,0.08,-0.04,0.92,-0.97,2.22,0.02
7.537,0.08,-0.03,0.92,-1.08,2.21,-0.07
7.557,0.08,-0.04,0.92,-1.02,2.18,0.03
7.577,0.08,-0.04,0.92,-1.04,2.24,-0.03
7.597,0.08,-0.03,0.92,-1.01,2.26,-0.02
7.617,0.08,-0.04,0.92,-1.02,2.21,-0.02
7.638,0.08,-0.03,0.92,-1.07,2.27,0.02
7.657,0.08,-0.03,0.92,-1.05,2.19,0
7.677,0.08,-0.04,0.92,-1.04,2.24,0.02
7.697,0.08,-0.04,0.92,-1.01,2.22,0.03
7.717,0.08,-0.04,0.92,-1.04,2.23,0.02
7.737,0.08,-0.04,0.92,-1.04,2.24,0.02
7.757,0.08,-0.03,0.92,-0.97,2.2,0.02
7.777,0.08,-0.03,0.92,-1.06,2.28,0.02
7.797,0.08,-0.04,0.92,-1,2.26,0.02
7.817,0.08,-0.04,0.92,-1,2.15,-0.02
7.837,0.08,-0.04,0.92,-1.05,2.15,0.01
7.857,0.08,-0.04,0.92,-1.03,2.33,-0.02
7.877,0.08,-0.04,0.92,-1.05,2.21,0.01
7.897,0.08,-0.03,0.92,-1.03,2.14,-0.02
7.917,0.08,-0.04,0.92,-1,2.2,-0.03
7.937,0.08,-0.03,0.92,-1.12,2.21,-0.02
7.957,0.08,-0.04,0.92,-1.04,2.21,0.02
7.977,0.08,-0.03,0.92,-1.08,2.21,-0.02
7.997,0.08,-0.04,0.92,-1.02,2.3,0.02
8.017,0.08,-0.03,0.92,-0.95,2.26,0.01
8.037,0.08,-0.03,0.91,-1.05,2.23,0
8.057,0.08,-0.03,0.92,-1.03,2.4,-0.02
8.077,0.08,-0.04,0.92,-1.05,2.24,0.03
8.097,0.08,-0.04,0.92,-1.03,2.22,0.04
8.117,0.08,-0.03,0.92,-0.99,2.3,0
8.137,0.08,-0.03,0.92,-1.01,2.15,-0.02
8.157,0.08,-0.03,0.92,-1,2.27,-0.02
8.177,0.08,-0.03,0.92,-1.05,2.13,0.01
8.197,0.08,-0.04,0.92,-1.03,2.31,-0.02
8.217,0.08,-0.04,0.92,-1.04,2.27,0.02
8.237,0.08,-0.04,0.92,-1.02,2.18,-0.03
8.257,0.08,-0.03,0.92,-1.1,2.21,0.02
8.278,0.08,-0.04,0.92,-1.02,2.22,-0.02
8.297,0.08,-0.04,0.92,-1.01,2.22,0.02
8.317,0.08,-0.04,0.92,-0.98,2.3,-0.02
8.337,0.08,-0.04,0.92,-1.08,2.21,0.02
8.357,0.08,-0.04,0.92,-0.98,2.22,0.01
8.377,0.08,-0.03,0.92,-1.03,2.18,0.06
8.397,0.08,-0.03,0.92,-1.03,2.21,0
8.417,0.08,-0.04,0.92,-0.95,2.15,0.02
8.437,0.08,-0.03,0.92,-1.05,2.18,0.01
8.457,0.08,-0.03,0.92,-1.05,2.31,0.03
8.477,0.08,-0.04,0.92,-1.11,2.29,-0.05
8.497,0.08,-0.03,0.92,-1.11,2.26,-0.05
8.517,0.08,-0.04,0.92,-1.01,2.29,-0.04
8.537,0.08,-0.03,0.92,-1.01,2.16,0.02
8.557,0.08,-0.03,0.92,-1.02,2.29,0.01
8.577,0.08,-0.04,0.92,-1,2.21,0.02
8.597,0.08,-0.04,0.92,-1.03,2.28,0.02
8.617,0.08,-0.03,0.92,-1.13,2.21,0.01
8.637,0.08,-0.03,0.92,-1.07,2.21,-0.02
8.657,0.08,-0.03,0.92,-1.08,2.19,0.03
8.677,0.08,-0.03,0.92,-1.05,2.25,-0.01
8.697,0.08,-0.03,0.92,-1.02,2.21,0.02
8.717,0.08,-0.03,0.92,-0.96,2.29,-0.04
8.737,0.08,-0.04,0.92,-1.02,2.27,-0.04
8.757,0.08,-0.04,0.92,-1.11,2.27,0.08
8.777,0.08,-0.04,0.92,-1.11,2.24,0.05
8.797,0.08,-0.03,0.92,-1.05,2.18,0.01
8.817,0.08,-0.04,0.92,-0.98,2.19,-0.02
8.837,0.08,-0.03,0.92,-0.98,2.14,-0.01
8.857,0.08,-0.04,0.92,-1.04,2.21,0.02
8.877,0.08,-0.03,0.92,-1,2.26,-0.01
8.897,0.08,-0.03,0.92,-0.98,2.15,-0.04
8.918,0.08,-0.04,0.92,-1.02,2.18,0.07
8.937,0.08,-0.04,0.92,-1.05,2.15,-0.02
8.957,0.08,-0.04,0.91,-1.06,2.15,0.02
8.977,0.08,-0.03,0.92,-0.97,2.24,-0.02
